delay,freq,condition,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,,,
0.4,400,unexp,200,2,"[5.198949300000095, 10.899472999999944]","[5.198958800000128, 10.899482900000294]",491749,1,,0.4,233.3333333
0.7,400,unexp,300,4,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928]",491749,1,,,
0.1,400,unexp,200,6,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922, 3.2998015999996824]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826, 3.2998164000000543]",491749,1,,0.4375,485.5714286
0.4,1000,exp,300,1,[5.198949300000095],[5.198958800000128],491749,1,,,
0.4,1000,exp,999,3,"[5.198949300000095, 10.899472999999944, 4.299664099999973]","[5.198958800000128, 10.899482900000294, 4.2996759000002385]",491749,1,,,
0.1,1000,exp,400,5,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826]",491749,1,,,
0.7,1000,exp,"300 
",7,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922, 3.2998015999996824, 4.899081800000204]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826, 3.2998164000000543, 4.899088099999972]",491749,1,,,
0.7,1000,exp,400,8,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922, 3.2998015999996824, 4.899081800000204, 3.1661830000002738]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826, 3.2998164000000543, 4.899088099999972, 3.1661934000003384]",491749,1,,,
0.4,1000,exp,500,9,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922, 3.2998015999996824, 4.899081800000204, 3.1661830000002738, 3.1340017000002263]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826, 3.2998164000000543, 4.899088099999972, 3.1661934000003384, 3.1340134000001854]",491749,1,,,
0.7,1000,exp,600,10,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922, 3.2998015999996824, 4.899081800000204, 3.1661830000002738, 3.1340017000002263, 5.099657600000228]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826, 3.2998164000000543, 4.899088099999972, 3.1661934000003384, 3.1340134000001854, 5.099672700000156]",491749,1,,,
0.1,1000,exp,200,11,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922, 3.2998015999996824, 4.899081800000204, 3.1661830000002738, 3.1340017000002263, 5.099657600000228, 2.9503758000000744]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826, 3.2998164000000543, 4.899088099999972, 3.1661934000003384, 3.1340134000001854, 5.099672700000156, 2.9503829000000223]",491749,1,,,
0.1,1000,exp,"300
",12,"[5.198949300000095, 10.899472999999944, 4.299664099999973, 4.166909399999895, 3.5489403999999922, 3.2998015999996824, 4.899081800000204, 3.1661830000002738, 3.1340017000002263, 5.099657600000228, 2.9503758000000744, 3.2489903999999115]","[5.198958800000128, 10.899482900000294, 4.2996759000002385, 4.166918899999928, 3.5489486999999826, 3.2998164000000543, 4.899088099999972, 3.1661934000003384, 3.1340134000001854, 5.099672700000156, 2.9503829000000223, 3.248997600000166]",491749,1,,,
0.4,,,,,,,,,,,
